Starting Cosine-based Knowledge Transfer...
Successfully applied backbone weights for Image task.
Task 6 | Backbone 10 | Epoch 2/20 | Loss: 201.8037 | Accuracy: 0.3375
Task 6 | Backbone 10 | Epoch 3/20 | Loss: 195.8874 | Accuracy: 0.4081
Task 6 | Backbone 10 | Epoch 4/20 | Loss: 193.2735 | Accuracy: 0.4273
Task 6 | Backbone 10 | Epoch 5/20 | Loss: 192.6307 | Accuracy: 0.4315
Task 6 | Backbone 10 | Epoch 6/20 | Loss: 192.8299 | Accuracy: 0.4292
Task 6 | Backbone 10 | Epoch 7/20 | Loss: 192.1389 | Accuracy: 0.4308
Task 6 | Backbone 10 | Epoch 8/20 | Loss: 192.3914 | Accuracy: 0.4349
Task 6 | Backbone 10 | Epoch 9/20 | Loss: 192.8368 | Accuracy: 0.4301
Task 6 | Backbone 10 | Epoch 10/20 | Loss: 192.6487 | Accuracy: 0.4407
Task 6 | Backbone 10 | Epoch 11/20 | Loss: 191.9370 | Accuracy: 0.4418
Task 6 | Backbone 10 | Epoch 12/20 | Loss: 191.9172 | Accuracy: 0.4349
Task 6 | Backbone 10 | Epoch 13/20 | Loss: 192.1322 | Accuracy: 0.4358
Task 6 | Backbone 10 | Epoch 14/20 | Loss: 192.0387 | Accuracy: 0.4294
Task 6 | Backbone 10 | Epoch 15/20 | Loss: 191.9185 | Accuracy: 0.4294
Task 6 | Backbone 10 | Epoch 16/20 | Loss: 192.3068 | Accuracy: 0.4378
Task 6 | Backbone 10 | Epoch 17/20 | Loss: 191.9551 | Accuracy: 0.4394
Task 6 | Backbone 10 | Epoch 18/20 | Loss: 191.6038 | Accuracy: 0.4414
Task 6 | Backbone 10 | Epoch 19/20 | Loss: 192.2015 | Accuracy: 0.4323
Task 6 | Backbone 10 | Epoch 20/20 | Loss: 191.8853 | Accuracy: 0.4342
Successfully applied backbone weights for Text task.
Task 7 | Backbone 0 | Epoch 1/20 | Loss: 196.7160 | Accuracy: 0.3988
Task 7 | Backbone 0 | Epoch 2/20 | Loss: 180.4106 | Accuracy: 0.4706
Task 7 | Backbone 0 | Epoch 3/20 | Loss: 179.0150 | Accuracy: 0.4735
Task 7 | Backbone 0 | Epoch 4/20 | Loss: 178.1415 | Accuracy: 0.4764
Task 7 | Backbone 0 | Epoch 5/20 | Loss: 178.1249 | Accuracy: 0.4840
Task 7 | Backbone 0 | Epoch 6/20 | Loss: 177.7376 | Accuracy: 0.4747
Task 7 | Backbone 0 | Epoch 7/20 | Loss: 179.2909 | Accuracy: 0.4770
Task 7 | Backbone 0 | Epoch 8/20 | Loss: 178.0229 | Accuracy: 0.4866
Task 7 | Backbone 0 | Epoch 9/20 | Loss: 177.3896 | Accuracy: 0.4706
Task 7 | Backbone 0 | Epoch 10/20 | Loss: 177.3182 | Accuracy: 0.4764
Task 7 | Backbone 0 | Epoch 11/20 | Loss: 178.1460 | Accuracy: 0.4754
Task 7 | Backbone 0 | Epoch 12/20 | Loss: 176.2762 | Accuracy: 0.4808
Task 7 | Backbone 0 | Epoch 13/20 | Loss: 176.3067 | Accuracy: 0.4837
Task 7 | Backbone 0 | Epoch 14/20 | Loss: 176.5376 | Accuracy: 0.4794
Task 7 | Backbone 0 | Epoch 15/20 | Loss: 176.8667 | Accuracy: 0.4813
Task 7 | Backbone 0 | Epoch 16/20 | Loss: 177.0212 | Accuracy: 0.4864
Task 7 | Backbone 0 | Epoch 17/20 | Loss: 176.8253 | Accuracy: 0.4849
Task 7 | Backbone 0 | Epoch 18/20 | Loss: 177.2191 | Accuracy: 0.4842
Task 7 | Backbone 0 | Epoch 19/20 | Loss: 176.6530 | Accuracy: 0.4785
Task 7 | Backbone 0 | Epoch 20/20 | Loss: 177.8754 | Accuracy: 0.4825
Successfully applied backbone weights for Image task.
Task 8 | Backbone 6 | Epoch 1/20 | Loss: 202.3642 | Accuracy: 0.3383
Task 8 | Backbone 6 | Epoch 2/20 | Loss: 199.4937 | Accuracy: 0.3413
Task 8 | Backbone 6 | Epoch 3/20 | Loss: 194.7451 | Accuracy: 0.3992
Task 8 | Backbone 6 | Epoch 4/20 | Loss: 186.2123 | Accuracy: 0.4608
Task 8 | Backbone 6 | Epoch 5/20 | Loss: 186.3200 | Accuracy: 0.4582
Task 8 | Backbone 6 | Epoch 6/20 | Loss: 185.9812 | Accuracy: 0.4627
Task 8 | Backbone 6 | Epoch 7/20 | Loss: 185.2765 | Accuracy: 0.4659
Task 8 | Backbone 6 | Epoch 8/20 | Loss: 185.3357 | Accuracy: 0.4566
Task 8 | Backbone 6 | Epoch 9/20 | Loss: 185.6403 | Accuracy: 0.4632
Task 8 | Backbone 6 | Epoch 10/20 | Loss: 185.4782 | Accuracy: 0.4623
Task 8 | Backbone 6 | Epoch 11/20 | Loss: 184.9944 | Accuracy: 0.4614
Task 8 | Backbone 6 | Epoch 12/20 | Loss: 184.7260 | Accuracy: 0.4635
Task 8 | Backbone 6 | Epoch 13/20 | Loss: 184.2773 | Accuracy: 0.4670
Task 8 | Backbone 6 | Epoch 14/20 | Loss: 184.0054 | Accuracy: 0.4691
Task 8 | Backbone 6 | Epoch 15/20 | Loss: 184.4801 | Accuracy: 0.4611
Task 8 | Backbone 6 | Epoch 16/20 | Loss: 184.2726 | Accuracy: 0.4666
Task 8 | Backbone 6 | Epoch 17/20 | Loss: 184.3320 | Accuracy: 0.4656
Task 8 | Backbone 6 | Epoch 18/20 | Loss: 184.0144 | Accuracy: 0.4779
Task 8 | Backbone 6 | Epoch 19/20 | Loss: 183.5459 | Accuracy: 0.4718
Task 8 | Backbone 6 | Epoch 20/20 | Loss: 184.3227 | Accuracy: 0.4647
Successfully applied backbone weights for Text task.
Task 9 | Backbone 0 | Epoch 1/20 | Loss: 198.4423 | Accuracy: 0.3625
Task 9 | Backbone 0 | Epoch 2/20 | Loss: 195.0821 | Accuracy: 0.3949
Task 9 | Backbone 0 | Epoch 3/20 | Loss: 192.0509 | Accuracy: 0.4191
Task 9 | Backbone 0 | Epoch 4/20 | Loss: 188.9710 | Accuracy: 0.4297
Task 9 | Backbone 0 | Epoch 5/20 | Loss: 186.9462 | Accuracy: 0.4390
Task 9 | Backbone 0 | Epoch 6/20 | Loss: 184.2816 | Accuracy: 0.4590
Task 9 | Backbone 0 | Epoch 7/20 | Loss: 182.6723 | Accuracy: 0.4621
Task 9 | Backbone 0 | Epoch 8/20 | Loss: 182.0622 | Accuracy: 0.4698
Task 9 | Backbone 0 | Epoch 9/20 | Loss: 179.2518 | Accuracy: 0.4844
Task 9 | Backbone 0 | Epoch 10/20 | Loss: 178.9926 | Accuracy: 0.4895
Task 9 | Backbone 0 | Epoch 11/20 | Loss: 178.0407 | Accuracy: 0.4959
Task 9 | Backbone 0 | Epoch 12/20 | Loss: 175.6043 | Accuracy: 0.5091
Task 9 | Backbone 0 | Epoch 13/20 | Loss: 174.6791 | Accuracy: 0.5138
Task 9 | Backbone 0 | Epoch 14/20 | Loss: 175.0674 | Accuracy: 0.5024
Task 9 | Backbone 0 | Epoch 15/20 | Loss: 173.7223 | Accuracy: 0.5215
Task 9 | Backbone 0 | Epoch 16/20 | Loss: 173.5893 | Accuracy: 0.5222
Task 9 | Backbone 0 | Epoch 17/20 | Loss: 171.5716 | Accuracy: 0.5323
Task 9 | Backbone 0 | Epoch 18/20 | Loss: 170.8395 | Accuracy: 0.5372
Task 9 | Backbone 0 | Epoch 19/20 | Loss: 170.2084 | Accuracy: 0.5419
Task 9 | Backbone 0 | Epoch 20/20 | Loss: 169.9057 | Accuracy: 0.5424
Successfully applied backbone weights for Image task.
Task 10 | Backbone 6 | Epoch 1/20 | Loss: 199.7356 | Accuracy: 0.3422
Task 10 | Backbone 6 | Epoch 2/20 | Loss: 197.3771 | Accuracy: 0.3364
Task 10 | Backbone 6 | Epoch 3/20 | Loss: 197.3716 | Accuracy: 0.3336
Task 10 | Backbone 6 | Epoch 4/20 | Loss: 197.1748 | Accuracy: 0.3354
Task 10 | Backbone 6 | Epoch 5/20 | Loss: 197.0055 | Accuracy: 0.3380
Task 10 | Backbone 6 | Epoch 6/20 | Loss: 196.4718 | Accuracy: 0.3511
Task 10 | Backbone 6 | Epoch 7/20 | Loss: 195.4235 | Accuracy: 0.3614
Task 10 | Backbone 6 | Epoch 8/20 | Loss: 193.9713 | Accuracy: 0.3830
Task 10 | Backbone 6 | Epoch 9/20 | Loss: 192.8942 | Accuracy: 0.3935
Task 10 | Backbone 6 | Epoch 10/20 | Loss: 193.1449 | Accuracy: 0.3992
Task 10 | Backbone 6 | Epoch 11/20 | Loss: 192.2655 | Accuracy: 0.4041
Task 10 | Backbone 6 | Epoch 12/20 | Loss: 192.0900 | Accuracy: 0.4097
Task 10 | Backbone 6 | Epoch 13/20 | Loss: 191.9164 | Accuracy: 0.4050
Task 10 | Backbone 6 | Epoch 14/20 | Loss: 192.2675 | Accuracy: 0.3984
Task 10 | Backbone 6 | Epoch 15/20 | Loss: 191.9338 | Accuracy: 0.4010
Task 10 | Backbone 6 | Epoch 16/20 | Loss: 191.2566 | Accuracy: 0.4096
Task 10 | Backbone 6 | Epoch 17/20 | Loss: 191.1680 | Accuracy: 0.4150
Task 10 | Backbone 6 | Epoch 18/20 | Loss: 191.1725 | Accuracy: 0.4125
Task 10 | Backbone 6 | Epoch 19/20 | Loss: 190.9039 | Accuracy: 0.4117
Task 10 | Backbone 6 | Epoch 20/20 | Loss: 191.3314 | Accuracy: 0.4078
Successfully applied backbone weights for Image task.
Task 11 | Backbone 10 | Epoch 1/20 | Loss: 189.8364 | Accuracy: 0.3504
Task 11 | Backbone 10 | Epoch 2/20 | Loss: 182.2994 | Accuracy: 0.4151
